index,bearing,latitude_geo,longitude_geo,speed_over_ground,desired_operating_speed_engine,engine_speed,fuel_delivery_pressure_sensor,fuel_pressure,fuel_rate,level_engine_coolant,load,engine_oil_filter_diff_pressure_j1939,oil_pressure,position_accelerator_pedal_1,position_engine_throttle,potential_battery_power_input_1,pressure_diff_fuel_filter,pressure_engine_coolant ,pressure_engine_crankcase,pressure_engine_inlet_air,pressure_engine_intake_manifold_1,rated_speed_engine,running_hours,temperature_ambient_air,temperature_engine_air_inlet,temperature_engine_coolant,temperature_engine_fuel_1,temperature_engine_intake_manifold_1,left_manifold_exh_gas_temperature,right_manifold_exh_gas_temperature,total_average_fuel_rate_engine,total_fuel_used_engine,transmission_1_oil_pressure,transmission_oil_temperature_1,trip_fuel_engine,acceleration_x,acceleration_y,acceleration_z,operation,year,month,day,hour,minute,second
1,98.6753,50.417477,7.56038,0,650,0,0,0,0,0,0,0,0,0,0,25.65,6.8,0,0,0,0,0,412.35,0,0,65.9,0,66,119.313,94.813,84.45,34824,16,26,34824,0.02043488,-0.10380384,0.00880992,0,2021,6,1,0,3,44
2,98.6753,50.417477,7.56038,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6.8,0,0,0,0,0,412.35,0,0,65.9,0,66,119.313,94.813,84.45,34824,16,26,34824,0.02043488,-0.10380384,0.00880992,0,2021,6,1,0,3,45
3,98.6753,50.417477,7.56038,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6.8,0,0,0,0,0,412.35,0,0,65.9,0,66,119.313,94.813,84.45,34824,16,26,34824,0.02043488,-0.10380384,0.00880992,0,2021,6,1,0,3,46
4,98.6753,50.417477,7.56038,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6.8,0,0,0,0,0,412.35,0,0,65.9,0,66,119.313,94.813,84.45,34824,16,26,34824,0.01373168,-0.10801728,-0.00076608,0,2021,6,1,0,3,54
5,98.6753,50.417477,7.56038,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01373168,-0.10801728,-0.00076608,0,2021,6,1,0,3,59
6,98.6753,50.417477,7.56038,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01890272,-0.10418688,0.01187424,0,2021,6,1,0,4,6
7,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01890272,-0.10418688,0.01187424,0,2021,6,1,0,4,14
8,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.7,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01890272,-0.10418688,0.01187424,0,2021,6,1,0,4,15
9,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.65,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01890272,-0.10418688,0.01187424,0,2021,6,1,0,4,16
10,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.65,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01890272,-0.10418688,0.01187424,0,2021,6,1,0,4,17
11,98.6753,50.417477,7.560382,0,650,0,0,0,0,0,0,0,0,0,0,25.65,6,0,0,0,0,0,412.35,0,0,65.818184,0,66,119.313,94.813,84.45,34824,14.545455,26,34824,0.01354016,-0.10744272,0.00995904,0,2021,6,1,0,4,19
